,Unnamed: 0,University Name,Website,Year Established,Fees,State,Region
84,84,Edusoko University,https://edusokouniversity.edu.ng/fees,2021,587000.0,Niger,North-Central
85,85,Mcpherson University,https://www.mcu.edu.ng,2012,585173.0,Ogun,South-West
86,86,Landmark University,https://www.lmu.edu.ng,2011,580571.0,Kwara,North-Central
87,87,Peter University,https://www.puni.edu.ng/,2022,575000.0,Anambra,South-East
88,88,Anan University,https://www.ananuniversity.edu.ng/,2021,570000.0,Plateau,North-Central
89,89,Shanahan University Onitsha,https://shanahanuni.edu.ng/faq/how-much-is-the-tuition/,2023,566666.0,Anambra,South-East
90,90,Novena University,https://www.novenauniversity.edu.ng,2005,560000.0,Delta,South-South
91,91,Khadija University,https://kum.edu.ng/tuition-fees/,2021,558333.0,Jigawa,North-West
92,92,Madonna University,https://www.madonnauniversity.edu.ng,1999,554676.0,Anambra,South-East
93,93,Micheal & Cecilia Ibru University,https://mciu.edu.ng/,2015,534783.0,Delta,South-South
94,94,Maranathan University,https://maranathauniversitylagos.edu.ng/school-fees/,2021,532500.0,Imo,South-East
95,95,Huda University,https://hug.edu.ng/,2023,524500.0,Zamafara,North-West
96,96,Redeemer's University,https://www.run.edu.ng,2005,710680.0,Osun,South-West
97,97,University of Mkar,https://www.unimkar.edu.ng,2005,494500.0,Benue,North-Central
98,98,Glorious Vision University,https://www.sau.edu.ng,2011,493375.0,Edo,South-South
99,99,Vision University,https://gvu.edu.ng/undergraduate/admission/tuition-fees/,2023,493375.0,Ogun,South-West
100,100,Summit University,https://www.summituniversity.edu.ng,2015,488500.0,Kwara,North-Central
101,101,Fountain Unveristy,https://www.fuo.edu.ng,2007,482500.0,Osun,South-West
102,102,Atiba University Oyo,https://www.atibauniversity.edu.ng/,2017,471428.0,Oyo,South-West
103,103,Westland University Iwo,https://westland.edu.ng/,2019,460533.0,Osun,South-West
104,104,Rhema University,https://www.rhemauniversity.edu.ng,2009,459000.0,Rivers,South-South
105,105,Tansian University,https://tansianuniversity.edu.ng/,2007,450500.0,Anambra,South-East
106,106,Al-Istiqama University,https://mytopschools.com/ausu-school-fees/,2021,447466.0,Kano,North-West
107,107,Precious Cornerstone University,https://www.pcu.edu.ng,2017,427500.0,Oyo,South-West
108,108,Oduduwa University,https://www.oduduwauniversity.edu.ng,2009,416666.0,Osun,South-West
109,109,Ojaja University Eiyenkorin,https://www.crownhilluniversity.edu.ng/,2016,415823.0,Kwara,North-Central
110,110,Godfrey Okoye University,https://www.gouni.edu.ng,2009,400902.0,Enugu,South-East
111,111,Maduka University,https://madukauniversity.edu.ng/fee-list,2023,400631.0,Enugu,South-East
112,112,Muhammad Kamalud University Kwara,https://mku.edu.ng/admission-requirements,2023,385866.0,Kwara,North-Central
113,113,Spiritan University,https://www.spiritanuniversity.edu.ng,2017,365000.0,Abia,South-East
114,114,Evangel University,https://www.evangeluniversity.edu.ng,2012,361800.0,Ebonyi,South-East
115,115,Hezekiah University,https://hezekiah.edu.ng/,2015,350000.0,Imo,South-East
116,116,Paul University,https://www.pauluniversity.edu.ng,2009,342000.0,Anambra,South-East
117,117,Ahman Pategi University,https://schoolings.org/ahman-pategi-university-patigi-school-fees-for-fresh-students/,2021,331866.0,Kwara,North-Central
118,118,Caritas University,https://www.caritasuni.edu.ng/,2005,329291.0,Enugu,South-East
119,119,Miva Open University,https://miva.university/,2023,306666.0,FCT Abuja,North-Central
120,120,Southwestern University,https://www.southwesternuniversity.edu.ng,2012,300000.0,Delta,South-South
121,121,Legacy University,https://www.legacyuniversity.edu.ng/,2016,300000.0,Anambra,South-East
122,122,Obong University,https://www.obonguniversity.org/,2007,277000.0,Akwa Ibom,South-South
123,123,Claretian University of Nigeria,https://claretianuniversity.edu.ng/cun-tuition-fees-and-scholarship/,2021,275000.0,Imo,South-East
124,124,Al-Qalam University,https://www.auk.edu.ng,2005,237479.0,Katsina,North-West
125,125,Sam Maris University,https://smu.edu.ng/index.php/contents/fees-structure.html,2023,225000.0,Ondo,South-West
126,126,Kwararafa University,https://www.kuw.edu.ng/,2005,170000.0,Taraba,North-East
127,127,Al-Muhibbah Open University,https://aou.edu.ng/tuition,2023,105000.0,FCT Abuja,North-Central
128,128,Iconic Open University,https://www.iconicuniversity.edu.ng/,2023,70833.0,Sokoto,North-West
